"ids","pcomplex","SUBUNIT-COMPOSITION","ECK","associated_gene_names"
"2153","ABC-19-CPLX","1*MODC-MONOMER,2*MODB-MONOMER,1*MODA-MONOMER","ECK0754","modC"
"1831","DAPASYN-CPLX","2*DAPASYN-MONOMER","ECK0763","bioA"
"1198","BIOTIN-SYN-CPLX","2*BIOTIN-SYN-MONOMER","ECK0764","bioB"
"1288","7KAPSYN-CPLX","2*7KAPSYN-MONOMER","ECK0765","bioF"
"1475","DETHIOBIOTIN-SYN-CPLX","2*DETHIOBIOTIN-SYN-MONOMER","ECK0767","bioD"
"1942","UVRABC-CPLX","1*EG11062-MONOMER,1*EG11063-MONOMER,1*EG11061-MONOMER","ECK0768","uvrB"
"1655","CPLX-8331","6*EG11666-MONOMER","ECK0772","moaC"
"1745","CPLX0-2502","2*EG11597-MONOMER,2*EG11598-MONOMER","ECK0773","moaD"
"1835","CPLX0-2502","2*EG11597-MONOMER,2*EG11598-MONOMER","ECK0774","moaE"
"1140","ABC-57-CPLX","1*YBHS-MONOMER,1*YBHR-MONOMER,1*YBHF-MONOMER","ECK0782","ybhS"
"704","CPLX0-8184","2*EG11580-MONOMER","ECK0789","ybiB"
"2333","ABC-12-CPLX","2*GLNQ-MONOMER,2*GLNP-MONOMER,1*GLNH-MONOMER","ECK0798","glnQ"
"2427","ABC-12-CPLX","2*GLNQ-MONOMER,2*GLNP-MONOMER,1*GLNH-MONOMER","ECK0799","glnP"
"2518","ABC-12-CPLX","2*GLNQ-MONOMER,2*GLNP-MONOMER,1*GLNH-MONOMER","ECK0800","glnH"
"398","CPLX0-1521","12*EG11415-MONOMER","ECK0801","dps"
"777","CPLX0-7672","2*G6420-MONOMER","ECK0807","mntR"
"1292","CPLX0-8045","2*EG10153-MONOMER","ECK0817","moeA"
"3598","CPLX0-263","2*MONOMER0-2,2*MONOMER0-3","ECK0818","iaaA"
"1971","ABC-49-CPLX","1*YLIA-MONOMER,1*YLIB-MONOMER,1*YLID-MONOMER,1*YLIC-MONOMER","ECK0821","gsiC"
"3675","ABC-49-CPLX","1*YLIA-MONOMER,1*YLIB-MONOMER,1*YLID-MONOMER,1*YLIC-MONOMER","ECK0822","gsiD"
"999","CPLX0-244","2*EG11261-MONOMER","ECK0842","nfsA"
"2296","CPLX0-7946","4*EG10852-MONOMER","ECK0843","rimK"
"2157","ABC-25-CPLX","2*POTG-MONOMER,1*POTH-MONOMER,1*POTI-MONOMER,1*POTF-MONOMER","ECK0845","potF"
"365","ABC-25-CPLX","2*POTG-MONOMER,1*POTH-MONOMER,1*POTI-MONOMER,1*POTF-MONOMER","ECK0847","potH"
"2244","ABC-25-CPLX","2*POTG-MONOMER,1*POTH-MONOMER,1*POTI-MONOMER,1*POTF-MONOMER","ECK0848","potI"
"2586","ABC-4-CPLX","1*ARTJ-MONOMER,1*ARTQ-MONOMER,1*ARTM-MONOMER,2*ARTP-MONOMER","ECK0851","artJ"
"2336","ABC-4-CPLX","1*ARTJ-MONOMER,1*ARTQ-MONOMER,1*ARTM-MONOMER,2*ARTP-MONOMER","ECK0852","artM"
"2336","CPLX0-8120","1*ARTI-MONOMER,1*ARTM-MONOMER,1*ARTQ-MONOMER,2*ARTP-MONOMER","ECK0852","artM"
"2431","ABC-4-CPLX","1*ARTJ-MONOMER,1*ARTQ-MONOMER,1*ARTM-MONOMER,2*ARTP-MONOMER","ECK0853","artQ"
"2431","CPLX0-8120","1*ARTI-MONOMER,1*ARTM-MONOMER,1*ARTQ-MONOMER,2*ARTP-MONOMER","ECK0853","artQ"
"2522","CPLX0-8120","1*ARTI-MONOMER,1*ARTM-MONOMER,1*ARTQ-MONOMER,2*ARTP-MONOMER","ECK0854","artI"
"2612","ABC-4-CPLX","1*ARTJ-MONOMER,1*ARTQ-MONOMER,1*ARTM-MONOMER,2*ARTP-MONOMER","ECK0855","artP"
"2612","CPLX0-8120","1*ARTI-MONOMER,1*ARTM-MONOMER,1*ARTQ-MONOMER,2*ARTP-MONOMER","ECK0855","artP"
"1290","LTAA-CPLX","4*LTAA-MONOMER","ECK0861","ltaE"
"56","PYRUVOXID-CPLX","4*PYRUVOXID-MONOMER","ECK0862","poxB"
"3525","CPLX0-7653","4*AQPZ-MONOMER","ECK0866","aqpZ"
"1074","TRANS-200-CPLX","2*EG11009-MONOMER,2*MACB,6*MACA","ECK0869","macA"
"1156","TRANS-200-CPLX","2*EG11009-MONOMER,2*MACB,6*MACA","ECK0870","macB"
"2280","CPLX0-3301","2*EG11111-MONOMER","ECK0871","cspD"
"440","CPLX0-881","6*EG10156-MONOMER","ECK0873","clpA"
"440","CPLX0-3104","14*EG10158-MONOMER,12*EG10156-MONOMER","ECK0873","clpA"
"440","CPLX0-3108","14*EG10158-MONOMER,6*EG10156-MONOMER,6*EG10159-MONOMER","ECK0873","clpA"
"3394","ABC-6-CPLX","1*CYDD-MONOMER,1*CYDC-MONOMER","ECK0877","cydC"
"3826","ABC-6-CPLX","1*CYDD-MONOMER,1*CYDC-MONOMER","ECK0878","cydD"
"2035","THIOREDOXIN-REDUCT-NADPH-CPLX","2*THIOREDOXIN-REDUCT-NADPH-MONOMER","ECK0879","trxB"
"3398","SERS-CPLX","2*SERS-MONOMER","ECK0884","serS"
"3608","DIMESULFREDUCT-CPLX","1*DMSA-MONOMER,1*DMSB-MONOMER,1*DMSC-MONOMER","ECK0886","dmsB"
"2504","DIMESULFREDUCT-CPLX","1*DMSA-MONOMER,1*DMSB-MONOMER,1*DMSC-MONOMER","ECK0887","dmsC"
"1069","CPLX0-661","8*EG11241-MONOMER","ECK0888","ycaC"
"232","PYRUVFORMLY-INACTIVE-CPLX","2*PYRUVFORMLY-MONOMER","ECK0894","pflB"
"232","PYRUVFORMLY-CPLX","2*PYRUVFORMLY-MONOMER","ECK0894","pflB"
"1975","CPLX0-7843","5*FOCA-MONOMER","ECK0895","focA"
"1385","PSERTRANSAM-CPLX","2*PSERTRANSAM-MONOMER","ECK0898","serC"
"380","PC00027","1*PD00347,1*PD00348","ECK0903","ihfB"
"3490","CPLX0-7704","2*EG10613-MONOMER","ECK0905","msbA"
"3492","CPLX0-7704","2*EG10613-MONOMER","ECK0905","msbA"
"3474","CPLX0-2561","2*EG10618-MONOMER,2*EG12165-MONOMER,4*EG11252-MONOMER","ECK0914","mukE"
"3474","CPLX0-7697","4*EG11252-MONOMER,2*EG12165-MONOMER","ECK0914","mukE"
"3472","CPLX0-2561","2*EG10618-MONOMER,2*EG12165-MONOMER,4*EG11252-MONOMER","ECK0915","mukB"
"3472","CPLX0-7696","2*EG10618-MONOMER","ECK0915","mukB"
"1568","ASPAMINOTRANS-DIMER","2*ASPAMINOTRANS-MONOMER","ECK0919","aspC"
"495","CPLX0-2221","1*EG11008-MONOMER,3*EG10671-MONOMER","ECK0920","ompF"
"495","CPLX0-7534","3*EG10671-MONOMER","ECK0920","ompF"
"2067","ABC-56-CPLX","1*G6478-MONOMER,2*YCBM-MONOMER,2*YCBE-MONOMER","ECK0924","ssuB"
"2374","CPLX0-225","4*MONOMER-162","ECK0926","ssuD"
"1949","ABC-56-CPLX","1*G6478-MONOMER,2*YCBM-MONOMER,2*YCBE-MONOMER","ECK0927","ssuA"
"3679","CPLX0-224","2*MONOMER0-146","ECK0928","ssuE"
"2558","CPLX0-8244","6*G6491-MONOMER","ECK0942","pqiB"
"3830","CPLX0-7789","2*EG12855-MONOMER","ECK0947","ycbG"
"2595","CPLX0-8167","2*HYAC-MONOMER,4*HYAB-MONOMER,4*HYAA-MONOMER","ECK0963","hyaA"
"2595","FORMHYDROGI-CPLX","2*HYAA-MONOMER,2*HYAB-MONOMER,1*HYAC-MONOMER","ECK0963","hyaA"
"1958","CPLX0-8167","2*HYAC-MONOMER,4*HYAB-MONOMER,4*HYAA-MONOMER","ECK0964","hyaB"
"1958","FORMHYDROGI-CPLX","2*HYAA-MONOMER,2*HYAB-MONOMER,1*HYAC-MONOMER","ECK0964","hyaB"
"2050","CPLX0-8167","2*HYAC-MONOMER,4*HYAB-MONOMER,4*HYAA-MONOMER","ECK0965","hyaC"
"2050","FORMHYDROGI-CPLX","2*HYAA-MONOMER,2*HYAB-MONOMER,1*HYAC-MONOMER","ECK0965","hyaC"
"372","APP-UBIOX-CPLX","1*APPC-MONOMER,1*APPB-MONOMER","ECK0969","appC"
"445","APP-UBIOX-CPLX","1*APPC-MONOMER,1*APPB-MONOMER","ECK0970","appB"
"1882","CPLX-722","2*APPA-MONOMER","ECK0971","appA"
"492","CPLX0-8177","2*MONOMER0-1701","ECK0982","gnsA"
"548","CPLX0-2821","2*TORR-MONOMER","ECK0986","torR"
"548","TORR-CPLX","2*TORR-MONOMER","ECK0986","torR"
"548","PHOSPHO-TORR","2*TORR-MONOMER","ECK0986","torR"
"2323","TMAOREDUCTI-CPLX","1*EG11815-MONOMER,1*TORA-MONOMER","ECK0987","torC"
"2417","TMAOREDUCTI-CPLX","1*EG11815-MONOMER,1*TORA-MONOMER","ECK0988","torA"
"1542","CPLX0-2802","2*EG12193-MONOMER","ECK0991","cbpA"
"1246","GLUCOSE-1-PHOSPHAT-CPLX","2*GLUCOSE-1-PHOSPHAT-MONOMER","ECK0993","agp"
"1657","CPLX0-7632","4*PD01343","ECK0995","wrbA"
"1340","PUTA-CPLX","2*PUTA-MONOMER","ECK1005","putA"
"342","CPLX0-7994","1*G6528-MONOMER,1*G6529-MONOMER","ECK1011","pgaD"
"1089","CPLX0-7994","1*G6528-MONOMER,1*G6529-MONOMER","ECK1012","pgaC"
"1067","CPLX0-7945","3*G6540-MONOMER","ECK1020","ycdX"
"879","CPLX-3945","9*G6545-MONOMER,9*G6543-MONOMER","ECK1023","csgG"
"1320","CPLX-3945","9*G6545-MONOMER,9*G6543-MONOMER","ECK1025","csgE"
"870","CPLX0-7758","2*G6550-MONOMER","ECK1031","ymdB"
"2307","DIHYDROOROT-CPLX","2*DIHYDROOROT-MONOMER","ECK1047","pyrC"
"1776","CPLX0-7452","2*EG10322-MONOMER,1*EG11346-MONOMER,1*FLIF-FLAGELLAR-MS-RING,1*FLGI-FLAGELLAR-P-RING,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGH-FLAGELLAR-L-RING,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,34*FLIM-FLAGELLAR-C-RING-SWITCH,1*FLIN-FLAGELLAR-C-RING-SWITCH,1*G378-MONOMER,6*G377-MONOMER,12*EG11656-MONOMER,1*EG11977-MONOMER,1*EG11976-MONOMER,1*EG11975-MONOMER,1*EG11224-MONOMER,1*G7028-MONOMER,1*G370-MONOMER,120*G361-MONOMER,1*EG11967-MONOMER,1*EG11545-MONOMER,1*EG10321-MONOMER,5*EG10841-MONOMER","ECK1058","flgB"
"1776","FLAGELLAR-MOTOR-COMPLEX","1*FLIN-FLAGELLAR-C-RING-SWITCH,34*FLIM-FLAGELLAR-C-RING-SWITCH,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,1*FLGH-FLAGELLAR-L-RING,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGI-FLAGELLAR-P-RING,1*FLIF-FLAGELLAR-MS-RING,1*EG11346-MONOMER,2*EG10322-MONOMER","ECK1058","flgB"
"1866","CPLX0-7452","2*EG10322-MONOMER,1*EG11346-MONOMER,1*FLIF-FLAGELLAR-MS-RING,1*FLGI-FLAGELLAR-P-RING,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGH-FLAGELLAR-L-RING,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,34*FLIM-FLAGELLAR-C-RING-SWITCH,1*FLIN-FLAGELLAR-C-RING-SWITCH,1*G378-MONOMER,6*G377-MONOMER,12*EG11656-MONOMER,1*EG11977-MONOMER,1*EG11976-MONOMER,1*EG11975-MONOMER,1*EG11224-MONOMER,1*G7028-MONOMER,1*G370-MONOMER,120*G361-MONOMER,1*EG11967-MONOMER,1*EG11545-MONOMER,1*EG10321-MONOMER,5*EG10841-MONOMER","ECK1059","flgC"
"1866","FLAGELLAR-MOTOR-COMPLEX","1*FLIN-FLAGELLAR-C-RING-SWITCH,34*FLIM-FLAGELLAR-C-RING-SWITCH,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,1*FLGH-FLAGELLAR-L-RING,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGI-FLAGELLAR-P-RING,1*FLIF-FLAGELLAR-MS-RING,1*EG11346-MONOMER,2*EG10322-MONOMER","ECK1059","flgC"
"1324","CPLX0-7452","2*EG10322-MONOMER,1*EG11346-MONOMER,1*FLIF-FLAGELLAR-MS-RING,1*FLGI-FLAGELLAR-P-RING,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGH-FLAGELLAR-L-RING,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,34*FLIM-FLAGELLAR-C-RING-SWITCH,1*FLIN-FLAGELLAR-C-RING-SWITCH,1*G378-MONOMER,6*G377-MONOMER,12*EG11656-MONOMER,1*EG11977-MONOMER,1*EG11976-MONOMER,1*EG11975-MONOMER,1*EG11224-MONOMER,1*G7028-MONOMER,1*G370-MONOMER,120*G361-MONOMER,1*EG11967-MONOMER,1*EG11545-MONOMER,1*EG10321-MONOMER,5*EG10841-MONOMER","ECK1061","flgE"
"1419","CPLX0-7452","2*EG10322-MONOMER,1*EG11346-MONOMER,1*FLIF-FLAGELLAR-MS-RING,1*FLGI-FLAGELLAR-P-RING,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGH-FLAGELLAR-L-RING,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,34*FLIM-FLAGELLAR-C-RING-SWITCH,1*FLIN-FLAGELLAR-C-RING-SWITCH,1*G378-MONOMER,6*G377-MONOMER,12*EG11656-MONOMER,1*EG11977-MONOMER,1*EG11976-MONOMER,1*EG11975-MONOMER,1*EG11224-MONOMER,1*G7028-MONOMER,1*G370-MONOMER,120*G361-MONOMER,1*EG11967-MONOMER,1*EG11545-MONOMER,1*EG10321-MONOMER,5*EG10841-MONOMER","ECK1062","flgF"
"1419","FLAGELLAR-MOTOR-COMPLEX","1*FLIN-FLAGELLAR-C-RING-SWITCH,34*FLIM-FLAGELLAR-C-RING-SWITCH,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,1*FLGH-FLAGELLAR-L-RING,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGI-FLAGELLAR-P-RING,1*FLIF-FLAGELLAR-MS-RING,1*EG11346-MONOMER,2*EG10322-MONOMER","ECK1062","flgF"
"1508","CPLX0-7452","2*EG10322-MONOMER,1*EG11346-MONOMER,1*FLIF-FLAGELLAR-MS-RING,1*FLGI-FLAGELLAR-P-RING,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGH-FLAGELLAR-L-RING,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,34*FLIM-FLAGELLAR-C-RING-SWITCH,1*FLIN-FLAGELLAR-C-RING-SWITCH,1*G378-MONOMER,6*G377-MONOMER,12*EG11656-MONOMER,1*EG11977-MONOMER,1*EG11976-MONOMER,1*EG11975-MONOMER,1*EG11224-MONOMER,1*G7028-MONOMER,1*G370-MONOMER,120*G361-MONOMER,1*EG11967-MONOMER,1*EG11545-MONOMER,1*EG10321-MONOMER,5*EG10841-MONOMER","ECK1063","flgG"
"1508","FLAGELLAR-MOTOR-COMPLEX","1*FLIN-FLAGELLAR-C-RING-SWITCH,34*FLIM-FLAGELLAR-C-RING-SWITCH,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,1*FLGH-FLAGELLAR-L-RING,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGI-FLAGELLAR-P-RING,1*FLIF-FLAGELLAR-MS-RING,1*EG11346-MONOMER,2*EG10322-MONOMER","ECK1063","flgG"
"1599","CPLX0-7452","2*EG10322-MONOMER,1*EG11346-MONOMER,1*FLIF-FLAGELLAR-MS-RING,1*FLGI-FLAGELLAR-P-RING,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGH-FLAGELLAR-L-RING,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,34*FLIM-FLAGELLAR-C-RING-SWITCH,1*FLIN-FLAGELLAR-C-RING-SWITCH,1*G378-MONOMER,6*G377-MONOMER,12*EG11656-MONOMER,1*EG11977-MONOMER,1*EG11976-MONOMER,1*EG11975-MONOMER,1*EG11224-MONOMER,1*G7028-MONOMER,1*G370-MONOMER,120*G361-MONOMER,1*EG11967-MONOMER,1*EG11545-MONOMER,1*EG10321-MONOMER,5*EG10841-MONOMER","ECK1065","flgI"
"1599","FLAGELLAR-MOTOR-COMPLEX","1*FLIN-FLAGELLAR-C-RING-SWITCH,34*FLIM-FLAGELLAR-C-RING-SWITCH,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,1*FLGH-FLAGELLAR-L-RING,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGI-FLAGELLAR-P-RING,1*FLIF-FLAGELLAR-MS-RING,1*EG11346-MONOMER,2*EG10322-MONOMER","ECK1065","flgI"
"1780","CPLX0-7452","2*EG10322-MONOMER,1*EG11346-MONOMER,1*FLIF-FLAGELLAR-MS-RING,1*FLGI-FLAGELLAR-P-RING,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGH-FLAGELLAR-L-RING,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,34*FLIM-FLAGELLAR-C-RING-SWITCH,1*FLIN-FLAGELLAR-C-RING-SWITCH,1*G378-MONOMER,6*G377-MONOMER,12*EG11656-MONOMER,1*EG11977-MONOMER,1*EG11976-MONOMER,1*EG11975-MONOMER,1*EG11224-MONOMER,1*G7028-MONOMER,1*G370-MONOMER,120*G361-MONOMER,1*EG11967-MONOMER,1*EG11545-MONOMER,1*EG10321-MONOMER,5*EG10841-MONOMER","ECK1067","flgK"
"3540","CPLX0-7452","2*EG10322-MONOMER,1*EG11346-MONOMER,1*FLIF-FLAGELLAR-MS-RING,1*FLGI-FLAGELLAR-P-RING,1*FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN,1*FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN,1*MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,1*FLGH-FLAGELLAR-L-RING,26*FLIG-FLAGELLAR-SWITCH-PROTEIN,34*FLIM-FLAGELLAR-C-RING-SWITCH,1*FLIN-FLAGELLAR-C-RING-SWITCH,1*G378-MONOMER,6*G377-MONOMER,12*EG11656-MONOMER,1*EG11977-MONOMER,1*EG11976-MONOMER,1*EG11975-MONOMER,1*EG11224-MONOMER,1*G7028-MONOMER,1*G370-MONOMER,120*G361-MONOMER,1*EG11967-MONOMER,1*EG11545-MONOMER,1*EG10321-MONOMER,5*EG10841-MONOMER","ECK1068","flgL"
"3383","CPLX0-3461","4*EG10859-MONOMER","ECK1069","rne"
"3383","CPLX0-2381","2*PPK-MONOMER,4*EG10859-MONOMER,2*EG10844-MONOMER,3*EG10743-MONOMER,2*ENOLASE-MONOMER","ECK1069","rne"
"2199","CPLX0-252","2*FABH-MONOMER","ECK1077","fabH"
"2287","3-OXOACYL-ACP-SYNTHII-CPLX","2*3-OXOACYL-ACP-SYNTHII-MONOMER","ECK1081","fabF"
"3828","PABSYNMULTI-CPLX","1*PABASYN-COMPII-MONOMER,1*PABASYN-COMPI-MONOMER,2*ADCLY-MONOMER","ECK1082","pabC"
"3828","ADCLY-CPLX","2*ADCLY-MONOMER","ECK1082","pabC"
"3448","CPLX0-3801","3*EG10245-MONOMER,1*EG11500-MONOMER,1*EG11412-MONOMER","ECK1085","holB"
"3448","CPLX0-3803","3*EG11505-MONOMER,3*EG10243-MONOMER,3*EG10238-MONOMER,1*EG11412-MONOMER,1*EG11500-MONOMER,5*EG10245-MONOMER,4*EG10242-MONOMER,4*EG11414-MONOMER,4*EG11413-MONOMER","ECK1085","holB"
"2525","CPLX-157","2*PTSG-MONOMER,1*CRR-MONOMER","ECK1087","ptsG"
"126","CPLX0-7952","1*EG10306-MONOMER,1*EG10272-MONOMER,1*EG10271-MONOMER,1*EG11012-MONOMER","ECK1088","fhuE"
"3648","CPLX0-7755","2*EG12172-MONOMER","ECK1089","hinT"
"2616","ABC-24-CPLX","2*POTA-MONOMER,1*POTB-MONOMER,1*POTC-MONOMER,1*POTD-MONOMER","ECK1109","potD"
"1979","ABC-24-CPLX","2*POTA-MONOMER,1*POTB-MONOMER,1*POTC-MONOMER,1*POTD-MONOMER","ECK1110","potC"
"2135","ABC-24-CPLX","2*POTA-MONOMER,1*POTB-MONOMER,1*POTC-MONOMER,1*POTD-MONOMER","ECK1111","potB"
"2071","ABC-24-CPLX","2*POTA-MONOMER,1*POTB-MONOMER,1*POTC-MONOMER,1*POTD-MONOMER","ECK1112","potA"
"76","CPLX0-3041","2*EG11549-MONOMER","ECK1113","pepT"
"442","CPLX0-8112","2*EG11430-MONOMER","ECK1114","ycfD"
"33","CPLX0-8168","2*PHOQ-MONOMER","ECK1115","phoQ"
"3509","CPLX0-7959","4*ASL-MONOMER","ECK1117","purB"
"520","ISOCITHASE-CPLX","2*ISOCITDEH-SUBUNIT","ECK1122","icd"
"520","ISOCITHASE-P","2*ISOCITDEH-SUBUNIT","ECK1122","icd"
"740","CPLX0-7623","2*G6606-MONOMER","ECK1153","ariR"
"1630","CPLX0-8196","2*EG10596-MONOMER","ECK1164","minC"
"1630","CPLX0-8188","2*EG10597-MONOMER,2*EG10596-MONOMER","ECK1164","minC"
"229","CPLX0-3925","1*EG11056-MONOMER,2*EG11057-MONOMER","ECK1171","umuD"
"1535","CPLX0-3925","1*EG11056-MONOMER,2*EG11057-MONOMER","ECK1172","umuC"
"1524","DALADEHYDROG-CPLX","2*DALADEHYDROGA-MONOMER","ECK1177","dadA"
"1614","CPLX0-7465","2*ALARACECAT-MONOMER","ECK1178","dadX"
"1160","CPLX0-8240","2*EG11404-MONOMER","ECK1191","ychF"
"3454","CPLX0-3841","2*EG11294-MONOMER","ECK1196","ispE"
"3459","KDO-8PSYNTH-CPLX","4*KDO-8PSYNTH-MONOMER","ECK1203","kdsA"
"258","NARX-CPLX","2*NARX-MONOMER","ECK1216","narX"
"3663","NITRATREDUCTA-CPLX","2*NARG-MONOMER,2*NARH-MONOMER,2*NARI-MONOMER","ECK1218","narG"
"3722","NITRATREDUCTA-CPLX","2*NARG-MONOMER,2*NARH-MONOMER,2*NARI-MONOMER","ECK1219","narH"
"2054","NITRATREDUCTA-CPLX","2*NARG-MONOMER,2*NARH-MONOMER,2*NARI-MONOMER","ECK1221","narI"
"2401","FORMYLTHFDEFORMYL-CPLX","6*FORMYLTHFDEFORMYL-MONOMER","ECK1227","purU"
"2148","CPLX0-8205","4*GLUC1PURIDYLTRANS-MONOMER","ECK1231","galU"
"6","ADHE-CPLX","40*ADHE-MONOMER","ECK1235","adhE"
"273","ABC-22-CPLX","1*OPPC-MONOMER,1*OPPD-MONOMER,1*OPPF-MONOMER,1*OPPB-MONOMER,1*OPPA-MONOMER","ECK1237","oppA"
"1722","CPLX0-3970","1*OPPB-MONOMER,1*OPPC-MONOMER,1*OPPD-MONOMER,1*OPPF-MONOMER,1*G6665-MONOMER","ECK1238","oppB"
"1722","ABC-22-CPLX","1*OPPC-MONOMER,1*OPPD-MONOMER,1*OPPF-MONOMER,1*OPPB-MONOMER,1*OPPA-MONOMER","ECK1238","oppB"
