"ids","pcomplex","SUBUNIT-COMPOSITION","ECK","associated_gene_names"
"784","ABC-5-CPLX","2*BTUD-MONOMER,2*BTUC-MONOMER,1*EG12334-MONOMER","ECK0157","btuF"
"2572","CPLX0-1541","2*EG11090-MONOMER","ECK0158","mtn"
"1935","DGTPTRIPHYDRO-CPLX","6*DGTPTRIPHYDRO-MONOMER","ECK0159","dgt"
"223","CPLX0-2921","12*EG10463-MONOMER","ECK0160","degP"
"3511","UMPKI-CPLX","6*UMPKI-MONOMER","ECK0170","pyrH"
"3458","UPPSYN-CPLX","2*UPPSYN-MONOMER","ECK0173","ispU"
"3486","CPLX0-3933","1*EG10952-MONOMER,1*EG10658-MONOMER,1*G7352-MONOMER,1*G6093-MONOMER,1*G7320-MONOMER","ECK0176","yaeT"
"3484","CPLX0-3933","1*EG10952-MONOMER,1*EG10658-MONOMER,1*G7352-MONOMER,1*G6093-MONOMER,1*G7320-MONOMER","ECK0176","yaeT"
"3488","CPLX0-3933","1*EG10952-MONOMER,1*EG10658-MONOMER,1*G7352-MONOMER,1*G6093-MONOMER,1*G7320-MONOMER","ECK0176","yaeT"
"3494","FABZ-CPLX","6*FABZ-MONOMER","ECK0179","fabZ"
"3496","FABZ-CPLX","6*FABZ-MONOMER","ECK0179","fabZ"
"3466","UDPNACETYLGLUCOSAMACYLTRANS-CPLX","3*UDPNACETYLGLUCOSAMACYLTRANS-MONOMER","ECK0180","lpxA"
"3467","CPLX0-7415","8*LIPIDADISACCHARIDESYNTH-MONOMER","ECK0181","lpxB"
"3403","CPLX0-3803","3*EG11505-MONOMER,3*EG10243-MONOMER,3*EG10238-MONOMER,1*EG11412-MONOMER,1*EG11500-MONOMER,5*EG10245-MONOMER,4*EG10242-MONOMER,4*EG11414-MONOMER,4*EG11413-MONOMER","ECK0183","dnaE"
"3403","CPLX0-2361","1*EG10238-MONOMER,1*EG10243-MONOMER,1*EG11505-MONOMER","ECK0183","dnaE"
"1427","LDC2-CPLX","10*LDC2-MONOMER","ECK0185","ldcC"
"708","METNIQ-METHIONINE-ABC-CPLX","2*ABC-MONOMER,2*METI-MONOMER,1*METQ-MONOMER","ECK0197","metQ"
"2940","METNIQ-METHIONINE-ABC-CPLX","2*ABC-MONOMER,2*METI-MONOMER,1*METQ-MONOMER","ECK0198","metI"
"1913","METNIQ-METHIONINE-ABC-CPLX","2*ABC-MONOMER,2*METI-MONOMER,1*METQ-MONOMER","ECK0199","metN"
"2188","CPLX0-3803","3*EG11505-MONOMER,3*EG10243-MONOMER,3*EG10238-MONOMER,1*EG11412-MONOMER,1*EG11500-MONOMER,5*EG10245-MONOMER,4*EG10242-MONOMER,4*EG11414-MONOMER,4*EG11413-MONOMER","ECK0215","dnaQ"
"2188","CPLX0-2361","1*EG10238-MONOMER,1*EG10243-MONOMER,1*EG11505-MONOMER","ECK0215","dnaQ"
"1054","CPLX0-921","2*G6104-MONOMER","ECK0221","ivy"
"1950","CPLX0-7660","4*G6106-MONOMER","ECK0223","lpcA"
"826","CPLX0-7787","2*G6109-MONOMER,2*G6110-MONOMER","ECK0226","yafQ"
"782","CPLX0-7787","2*G6109-MONOMER,2*G6110-MONOMER","ECK0227","dinJ"
"290","CPLX0-3001","2*EG10695-MONOMER","ECK0238","pepD"
"2210","GPT-CPLX","4*GPT-MONOMER","ECK0239","gpt"
"1222","CPLX0-7530","3*MONOMER0-282","ECK0242","phoE"
"1286","GLUTKIN-CPLX","4*GLUTKIN-MONOMER","ECK0243","proB"
"1381","GLUTSEMIALDEHYDROG-CPLX","4*GLUTSEMIALDEHYDROG-MONOMER","ECK0244","proA"
"3823","CPLX0-7940","4*G6140-MONOMER","ECK0269","yagE"
"1565","ORNCARBAMTRANSFERF-CPLX","3*CHAINF-MONOMER","ECK0274","argF"
"892","CPLX0-8110","2*G6154-MONOMER","ECK0282","yagQ"
"1087","CPLX0-7805","1*G6157-MONOMER,1*G6156-MONOMER,1*G6155-MONOMER","ECK0283","yagR"
"1171","CPLX0-7805","1*G6157-MONOMER,1*G6156-MONOMER,1*G6155-MONOMER","ECK0284","yagS"
"3769","CPLX0-7805","1*G6157-MONOMER,1*G6156-MONOMER,1*G6155-MONOMER","ECK0285","yagT"
"1900","BADH-CPLX","4*BADH-MONOMER","ECK0310","betB"
"1126","CPLX0-8109","2*EG11236-MONOMER","ECK0313","yahA"
"3018","CPLX0-1021","4*G6196-MONOMER","ECK0329","prpB"
"191","CPLX0-251","2*G6198-MONOMER","ECK0330","prpC"
"2299","CPLX0-7932","6*CYTDEAM-MONOMER","ECK0334","codA"
"1698","CARBODEHYDRAT-CPLX","2*CARBODEHYDRAT-MONOMER","ECK0336","cynT"
"1787","CYANLY-CPLX","10*CYANLY-MONOMER","ECK0337","cynS"
"3626","GALACTOACETYLTRAN-CPLX","3*GALACTOACETYLTRAN-MONOMER","ECK0339","lacA"
"3548","DHPDIOXYGEN-CPLX","4*DHPDIOXYGEN-MONOMER","ECK0345","mhpB"
"2400","CPLX0-7950","2*MHPCHYDROL-MONOMER","ECK0346","mhpC"
"3681","CPLX0-7951","5*MHPDHYDROL-MONOMER","ECK0347","mhpD"
"2409","ADHC-CPLX","2*ADHC-MONOMER","ECK0353","frmA"
"779","CPLX0-8234","4*G6209-MONOMER","ECK0354","frmR"
"2491","ABC-64-CPLX","1*TAUA-MONOMER,2*TAUC-MONOMER,2*TAUB-MONOMER","ECK0362","tauA"
"1555","ABC-64-CPLX","1*TAUA-MONOMER,2*TAUC-MONOMER,2*TAUB-MONOMER","ECK0363","tauB"
"1642","ABC-64-CPLX","1*TAUA-MONOMER,2*TAUC-MONOMER,2*TAUB-MONOMER","ECK0364","tauC"
"1150","CPLX0-227","2*MONOMER0-147","ECK0365","tauD"
"2366","CPLX0-8097","2*SBMA-MONOMER","ECK0372","sbmA"
"2583","ALKAPHOSPHA-CPLX","2*ALKAPHOSPHA-MONOMER","ECK0378","phoA"
"1653","PYRROLINECARBREDUCT-CPLX","10*PYRROLINECARBREDUCT-MONOMER","ECK0381","proC"
"1620","CPLX0-3957","1*EG10927-MONOMER,1*EG11094-MONOMER","ECK0391","sbcC"
"2393","CPLX0-3957","1*EG10927-MONOMER,1*EG11094-MONOMER","ECK0392","sbcD"
"544","PHOR-CPLX","2*PHOR-MONOMER","ECK0394","phoR"
"2117","CPLX0-1101","3*EG10996-MONOMER","ECK0400","tgt"
"1052","SEC-SECRETION-CPLX","1*SECD,1*SECF,1*EG11096-MONOMER,1*YIDC,1*SECY,1*SECG,1*SECE","ECK0401","yajC"
"1052","SECD-SECF-YAJC-YIDC-CPLX","1*YIDC,1*EG11096-MONOMER,1*SECF,1*SECD","ECK0401","yajC"
"3375","CPLX0-7659","2*RIBOFLAVINSYNDEAM-MONOMER","ECK0408","ribD"
"3377","LUMAZINESYN-CPLX","60*LUMAZINESYN-MONOMER","ECK0409","ribE"
"2484","CPLX-3946","1*EG11072-MONOMER,4*EG11098-MONOMER","ECK0416","xseB"
"259","CYT-O-UBIOX-CPLX","1*CYOD-MONOMER,1*CYOA-MONOMER,1*CYOB-MONOMER,1*CYOC-MONOMER","ECK0423","cyoD"
"328","CYT-O-UBIOX-CPLX","1*CYOD-MONOMER,1*CYOA-MONOMER,1*CYOB-MONOMER,1*CYOC-MONOMER","ECK0424","cyoC"
"403","CYT-O-UBIOX-CPLX","1*CYOD-MONOMER,1*CYOA-MONOMER,1*CYOB-MONOMER,1*CYOC-MONOMER","ECK0425","cyoB"
"478","CYT-O-UBIOX-CPLX","1*CYOD-MONOMER,1*CYOA-MONOMER,1*CYOB-MONOMER,1*CYOC-MONOMER","ECK0426","cyoA"
"438","CPLX0-3107","14*EG10158-MONOMER,12*EG10159-MONOMER","ECK0431","clpP"
"438","CPLX0-3101","14*EG10158-MONOMER","ECK0431","clpP"
"438","CPLX0-3104","14*EG10158-MONOMER,12*EG10156-MONOMER","ECK0431","clpP"
"438","CPLX0-3108","14*EG10158-MONOMER,6*EG10156-MONOMER,6*EG10159-MONOMER","ECK0431","clpP"
"512","CPLX0-3107","14*EG10158-MONOMER,12*EG10159-MONOMER","ECK0432","clpX"
"512","CPLX0-3108","14*EG10158-MONOMER,6*EG10156-MONOMER,6*EG10159-MONOMER","ECK0432","clpX"
"512","CPLX0-3102","6*EG10159-MONOMER","ECK0432","clpX"
"592","CPLX0-2881","6*EG10542-MONOMER","ECK0433","lon"
"15","CPLX0-2021","1*EG10466-MONOMER,1*EG10467-MONOMER","ECK0434","hupB"
"2539","PII2-CPLX","3*PROTEIN-PII2","ECK0444","glnK"
"1188","CPLX0-7532","3*AMTB-MONOMER","ECK0445","amtB"
"1923","THIOESTERII-CPLX","4*THIOESTERII-MONOMER","ECK0446","tesB"
"2591","MALTACETYLTRAN-CPLX","3*MALTACETYLTRAN-MONOMER","ECK0453","maa"
"1278","TRANS-CPLX-201","6*EG11703-MONOMER,3*EG11009-MONOMER,3*ACRB-MONOMER","ECK0456","acrB"
"3965","TRANS-CPLX-201","6*EG11703-MONOMER,3*EG11009-MONOMER,3*ACRB-MONOMER","ECK0457","acrA"
"3965","CPLX0-3932","3*ACRD-MONOMER,1*EG11703-MONOMER,3*EG11009-MONOMER","ECK0457","acrA"
"1711","CPLX0-3922","6*EG10236-MONOMER,3*EG10244-MONOMER,2*EG10764-MONOMER,1*EG10763-MONOMER,1*EG10765-MONOMER,1*EG10239-MONOMER","ECK0461","priC"
"3790","ADENPRIBOSYLTRAN-CPLX","2*ADENPRIBOSYLTRAN-MONOMER","ECK0463","apt"
"3406","CPLX0-3801","3*EG10245-MONOMER,1*EG11500-MONOMER,1*EG11412-MONOMER","ECK0464","dnaX"
"3406","CPLX0-3803","3*EG11505-MONOMER,3*EG10243-MONOMER,3*EG10238-MONOMER,1*EG11412-MONOMER,1*EG11500-MONOMER,5*EG10245-MONOMER,4*EG10242-MONOMER,4*EG11414-MONOMER,4*EG11413-MONOMER","ECK0464","dnaX"
"3406","CPLX0-3802","2*EG10245-MONOMER","ECK0464","dnaX"
"983","CPLX0-7816","2*EG11100-MONOMER","ECK0465","ybaB"
"1801","RECFOR-CPLX","1*EG10828-MONOMER,1*EG10834-MONOMER,1*EG10832-MONOMER","ECK0466","recR"
"1264","CPLX0-2641","2*EG10461-MONOMER","ECK0467","htpG"
"2015","CPLX0-8033","2*EG11101-MONOMER","ECK0470","aes"
"2576","CPLX0-322","2*GSK-MONOMER","ECK0471","gsk"
"998","CPLX0-7694","4*G6261-MONOMER","ECK0479","ybaS"
"2630","CPLX0-7708","2*G6263-MONOMER","ECK0481","cueR"
"74","CPLX0-7630","4*THIOESTERI-MONOMER","ECK0488","tesA"
"1735","ABC-61-CPLX","1*YBBP-MONOMER,1*YBBA-MONOMER","ECK0489","ybbA"
"3522","ABC-61-CPLX","1*YBBP-MONOMER,1*YBBA-MONOMER","ECK0490","ybbP"
"1242","GLYOCARBOLIG-CPLX","2*GLYOCARBOLIG-MONOMER","ECK0500","gcl"
"2004","CPLX-171","2*G6277-MONOMER","ECK0501","hyi"
"1165","CPLX0-7616","4*G6278-MONOMER","ECK0502","glxR"
"2031","CPLX-64","4*G6281-MONOMER","ECK0505","allB"
"1117","CPLX-7524","2*G6285-MONOMER","ECK0509","allC"
"1185","CPLX0-7993","2*G6286-MONOMER","ECK0510","allD"
"2124","PURK-CPLX","2*PURK-MONOMER","ECK0515","purK"
"2214","PURE-CPLX","8*PURE-MONOMER","ECK0516","purE"
"2189","CPLX0-7963","2*EMRE-MONOMER","ECK0534","emrE"
"426","CPLX0-8129","2*G6303-MONOMER","ECK0538","ybcN"
"1992","CPLX0-8237","2*G6306-MONOMER","ECK0541","rusA"
"212","CPLX0-1721","3*G6320-MONOMER,6*G6322-MONOMER,1*G6321-MONOMER,3*YBDE-MONOMER","ECK0564","cusC"
"218","CPLX0-1721","3*G6320-MONOMER,6*G6322-MONOMER,1*G6321-MONOMER,3*YBDE-MONOMER","ECK0565","cusF"
"460","CPLX0-1721","3*G6320-MONOMER,6*G6322-MONOMER,1*G6321-MONOMER,3*YBDE-MONOMER","ECK0566","cusB"
"349","CPLX0-1721","3*G6320-MONOMER,6*G6322-MONOMER,1*G6321-MONOMER,3*YBDE-MONOMER","ECK0567","cusA"
"771","CPLX0-7981","7*G6323-MONOMER","ECK0569","ybdG"
"1954","DIHYDROPTERIREDUCT-CPLX","2*DIHYDROPTERIREDUCT-MONOMER","ECK0570","nfsB"
"609","CPLX0-7827","2*G6326-MONOMER","ECK0573","ybdK"
"1194","ENTMULTI-CPLX","2*HOLO-ENTB,1*ENTD-MONOMER,1*ENTF-PANT,2*ENTE-MONOMER","ECK0579","entF"
"1282","ABC-10-CPLX","2*FEPC-MONOMER,1*FEPD-MONOMER,1*FEPG-MONOMER,1*FEPB-MONOMER","ECK0581","fepC"
"3559","ABC-10-CPLX","2*FEPC-MONOMER,1*FEPD-MONOMER,1*FEPG-MONOMER,1*FEPB-MONOMER","ECK0582","fepG"
"2369","ABC-10-CPLX","2*FEPC-MONOMER,1*FEPD-MONOMER,1*FEPG-MONOMER,1*FEPB-MONOMER","ECK0583","fepD"
"3575","CPLX0-5","1*YBDA-MONOMER,3*EG11009-MONOMER","ECK0584","entS"
"2461","ABC-10-CPLX","2*FEPC-MONOMER,1*FEPD-MONOMER,1*FEPG-MONOMER,1*FEPB-MONOMER","ECK0585","fepB"
"1379","ENTMULTI-CPLX","2*HOLO-ENTB,1*ENTD-MONOMER,1*ENTF-PANT,2*ENTE-MONOMER","ECK0587","entE"
"1379","ENTE-CPLX","2*ENTE-MONOMER","ECK0587","entE"
"1472","CPLX0-7849","2*HOLO-ENTB","ECK0588","entB"
"1472","ENTMULTI-CPLX","2*HOLO-ENTB,1*ENTD-MONOMER,1*ENTF-PANT,2*ENTE-MONOMER","ECK0588","entB"
"1472","ENTB-CPLX","2*HOLO-ENTB","ECK0588","entB"
"3712","ENTA-CPLX","4*ENTA-MONOMER","ECK0589","entA"
"655","CPLX0-7766","4*EG11105-MONOMER","ECK0590","entH"
"2131","DSBG-CPLX","2*DSBG-MONOMER","ECK0598","dsbG"
